package_name,version,license_type,source_project
mistune,3.1.4,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
mmh3,5.2.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
more-itertools,10.8.0,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
mpmath,1.3.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
msgpack,1.1.2,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
multidict,6.7.0,Apache License 2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
narwhals,2.14.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
nest-asyncio,1.6.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
networkx,3.6.1,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
numpy,2.3.5,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
oauthlib,3.2.2,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
onnxruntime,1.23.2,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
openpyxl,3.1.5,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
opentelemetry-api,1.39.1,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
opentelemetry-exporter-otlp-proto-common,1.39.1,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
opentelemetry-exporter-otlp-proto-grpc,1.39.1,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
opentelemetry-proto,1.39.1,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
opentelemetry-resourcedetector-gcp,1.11.0a0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
opentelemetry-sdk,1.39.1,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
opentelemetry-semantic-conventions,0.60b1,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
orjson,3.9.15,Apache Software License; MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
overrides,7.7.0,"Apache License, Version 2.0",management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
packaging,25.0,Apache Software License; BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pandas,2.3.3,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
parso,0.8.5,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pathspec,0.12.1,Mozilla Public License 2.0 (MPL 2.0),management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pbs-installer,2025.12.17,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pendulum,2.1.2,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pexpect,4.9.0,ISC License (ISCL),management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pillow,12.0.0,MIT-CMU,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pkginfo,1.12.1.2,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
platformdirs,4.5.0,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pluggy,1.3.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
poetry,2.2.1,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
poetry-core,2.2.1,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
polars,1.36.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
polars-runtime-32,1.36.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
posthog,5.4.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
prefect,2.16.3,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
prompt_toolkit,3.0.52,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
propcache,0.4.1,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
proto-plus,1.27.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
protobuf,6.33.2,3-Clause BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
psutil,7.1.3,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
ptyprocess,0.7.0,ISC License (ISCL),management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pure_eval,0.2.3,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
py-mcp-installer,0.1.5,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
py4j,0.10.9.7,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pyarrow,22.0.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pyasn1,0.5.1,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pyasn1-modules,0.3.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pybase64,1.4.3,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pycparser,2.21,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pydantic,2.12.5,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pydantic-settings,2.12.0,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pydantic_core,2.41.5,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pydeck,0.9.1,Apache License 2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pyee,13.0.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
Pygments,2.17.2,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
PyJWT,2.10.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
PyPika,0.50.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pyproject_hooks,1.2.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pyspark,3.5.1,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pytest,7.4.3,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
python-dateutil,2.9.0.post0,Apache Software License; BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
python-dotenv,1.2.1,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
python-engineio,4.12.3,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
python-frontmatter,1.1.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
python-multipart,0.0.9,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
python-slugify,8.0.4,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
python-socketio,5.15.1,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pytz,2024.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pytzdata,2020.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
PyYAML,6.0.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
pyzmq,27.1.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
questionary,2.1.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
RapidFuzz,3.14.3,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
react,19.2.4,MIT,management-ui/frontend
react-dom,19.2.4,MIT,management-ui/frontend
readchar,4.0.5,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
referencing,0.33.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
regex,2023.12.25,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
requests,2.31.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
requests-oauthlib,1.3.1,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
requests-toolbelt,1.0.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
rfc3339-validator,0.1.4,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
rich,13.7.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
rpds-py,0.18.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
rsa,4.9,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
ruamel.yaml,0.18.6,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
ruamel.yaml.clib,0.2.8,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
safetensors,0.7.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
scheduler,0.27.0,MIT,management-ui/frontend
scikit-learn,1.8.0,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
scipy,1.17.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
sentence-transformers,5.2.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
shellingham,1.5.4,ISC License (ISCL),management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
simple-websocket,1.1.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
six,1.16.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
smmap,5.0.2,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
sniffio,1.3.1,Apache Software License; MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
SQLAlchemy,2.0.28,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
sqlparse,0.5.5,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
sse-starlette,3.0.4,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
